year,area,waste_generated
2022,Koramangala,4586150.93
2023,Koramangala,4616079.32
2024,Koramangala,4915890.99
2017,Whitefield,3815855.12
2018,Whitefield,4136376.62
2019,Whitefield,4084173.68
2020,Whitefield,4307769.42
2021,Whitefield,4398814.43
2022,Whitefield,5292443.16
2023,Whitefield,5265462.81
2024,Whitefield,5332704.67
2017,Jayanagar,2993622.72
2018,Jayanagar,3042665.29
2019,Jayanagar,3352279.96
2020,Jayanagar,3363427.05
2021,Jayanagar,3346014.23
2022,Jayanagar,4126640.45
2023,Jayanagar,4063951.83
2024,Jayanagar,3717281.18
2017,Electronic City,2573965.41
2018,Electronic City,2773414.86
2019,Electronic City,2810200.81
2020,Electronic City,2993183.76
2021,Electronic City,3021191.56
2022,Electronic City,3669362.75
2023,Electronic City,3671435.79
2024,Electronic City,3584659.39
2017,HSR Layout,3262753.11
2018,HSR Layout,3373417.61
2019,HSR Layout,3599310.48
2020,HSR Layout,3655177.62
2021,HSR Layout,3846937.31
2022,HSR Layout,4237994.94
2023,HSR Layout,4681054.12
2024,HSR Layout,3890260.33
2017,Basavanagudi,4203761.91
2018,Basavanagudi,4352463.92
2019,Basavanagudi,4406688.28
2020,Basavanagudi,4564498.71
2021,Basavanagudi,4632499.65
2022,Basavanagudi,5318736.93
2023,Basavanagudi,6122115.14
2024,Basavanagudi,6040684.63
2017,Sarjapur Road,2560498.23
2018,Sarjapur Road,2667152.53
2019,Sarjapur Road,2791924.8
2020,Sarjapur Road,2850246.55
2021,Sarjapur Road,3303534.99
2022,Sarjapur Road,3287583.46
2023,Sarjapur Road,3542080.11
2024,Sarjapur Road,3398780.2
2017,Marathahalli,2380239.99
2018,Marathahalli,2537017.52
2019,Marathahalli,2668654.14
2020,Marathahalli,2867615.36
2021,Marathahalli,2698209.93
2022,Marathahalli,2786226.72
2023,Marathahalli,3512248.26
2024,Marathahalli,3387795.15
2017,Bellandur,2485220.88
2018,Bellandur,2604984.09
2019,Bellandur,2857072.97
2020,Bellandur,3006094.18
2021,Bellandur,3121133.69
2022,Bellandur,3180037.07
2023,Bellandur,3577350.08
2024,Bellandur,3788118.06
2017,Sadashivanagar,3806486.35
2018,Sadashivanagar,4035858.72
2019,Sadashivanagar,4228222.11
2020,Sadashivanagar,4325001.39
2021,Sadashivanagar,4976151.39
2022,Sadashivanagar,4496184.09
2023,Sadashivanagar,5319985.9
2024,Sadashivanagar,5178371.92
2017,Hebbal,2614670.22
2018,Hebbal,2736067.14
2019,Hebbal,2914560.6
2020,Hebbal,2997861.34
2021,Hebbal,3106466.84
2022,Hebbal,3115108.89
2023,Hebbal,3777771.29
2024,Hebbal,3990090.31
2017,BTM Layout,2792050.48
2018,BTM Layout,2959882.26
2019,BTM Layout,3181287.23
2020,BTM Layout,3314941.45
2021,BTM Layout,3570285.4
2022,BTM Layout,3799960.96
2023,BTM Layout,3879369.74
2024,BTM Layout,4505509.13
2017,Ulsoor,2751853.52
2018,Ulsoor,2883059.86
2019,Ulsoor,2947950.38
2020,Ulsoor,3105771.19
2021,Ulsoor,3415269.47
2022,Ulsoor,3108099.32
2023,Ulsoor,3554754.67
2024,Ulsoor,3980269.68
2017,Frazer Town,2676559.14
2018,Frazer Town,2728512.21
2019,Frazer Town,2946576.28
2020,Frazer Town,3057732.27
2021,Frazer Town,3435831.73
2022,Frazer Town,3321515.11
2023,Frazer Town,3606317.36
2024,Frazer Town,3957186.11
2017,J.P. Nagar,3174123.69
2018,J.P. Nagar,3233069.7
2019,J.P. Nagar,3472091.71
2020,J.P. Nagar,3728842.22
2021,J.P. Nagar,3637592.59
2022,J.P. Nagar,3750405.0
2023,J.P. Nagar,4269284.36
2024,J.P. Nagar,4932588.54
2017,Devanahalli,4389658.78
2018,Devanahalli,4699402.24
2019,Devanahalli,4879881.84
2020,Devanahalli,5192842.8
2021,Devanahalli,5356040.52
2022,Devanahalli,5143975.52
2023,Devanahalli,6426623.06
2024,Devanahalli,6598212.37
